Rest_id,D_ID,D_type,volume,Maker,D_name,Price
46,1,beer,0.5,carlsberg,carlsberg,40
46,23,cider,0.275,diageo,bacardi breezer,50
46,10,shot,0.02,underberg,underberg,25
47,1,beer,0.5,carlsberg,carlsberg,50
47,21,cider,0.275,cult,mokai,50
47,23,cider,0.275,diageo,bacardi breezer,45
47,3,beer,0.5,carlsberg,blanc 1664,55
48,3,beer,0.4,carlsberg,blanc 1664,50
48,1,beer,0.5,carlsberg,carlsberg,40
48,20,cider,0.275,smirnoff,smirnoff ice,50
49,20,cider,0.275,smirnoff,smirnoff ice,39
49,1,beer,0.4,carlsberg,carlsberg,40
49,2,beer,0.5,carlsberg,tuborg classic,20
49,5,beer,0.4,diageo,guinness,50
49,10,shot,0.02,underberg,underberg,35
49,6,beer,0.5,hancock,høker,60
50,6,beer,0.4,hancock,høker,60
50,23,cider,0.275,diageo,bacardi breezer,30
50,5,beer,0.4,diageo,guinness,40
51,10,shot,0.02,underberg,underberg,30
51,21,cider,0.275,cult,mokai,30
51,23,cider,0.275,diageo,bacardi breezer,45
51,3,beer,0.5,carlsberg,blanc 1664,40
51,22,cider,0.275,carlsberg,somersby,50
51,4,beer,0.4,carlsberg,tuborg,20
51,1,beer,0.5,carlsberg,carlsberg,60
52,10,shot,0.02,underberg,underberg,25
52,22,cider,0.275,carlsberg,somersby,50
52,21,cider,0.275,cult,mokai,39
52,23,cider,0.275,diageo,bacardi breezer,45
52,20,cider,0.275,smirnoff,smirnoff ice,50
53,2,beer,0.4,carlsberg,tuborg classic,60
53,22,cider,0.275,carlsberg,somersby,39
54,20,cider,0.275,smirnoff,smirnoff ice,39
54,3,beer,0.5,carlsberg,blanc 1664,50
54,23,cider,0.275,diageo,bacardi breezer,30
55,22,cider,0.275,carlsberg,somersby,50
55,23,cider,0.275,diageo,bacardi breezer,39
56,10,shot,0.02,underberg,underberg,30
56,6,beer,0.4,hancock,høker,40
56,5,beer,0.4,diageo,guinness,65
56,1,beer,0.4,carlsberg,carlsberg,40
56,3,beer,0.5,carlsberg,blanc 1664,55
57,6,beer,0.4,hancock,høker,50
57,1,beer,0.5,carlsberg,carlsberg,50
57,21,cider,0.275,cult,mokai,39
57,20,cider,0.275,smirnoff,smirnoff ice,30
57,2,beer,0.4,carlsberg,tuborg classic,45
58,10,shot,0.02,underberg,underberg,25
58,21,cider,0.275,cult,mokai,30
58,3,beer,0.5,carlsberg,blanc 1664,60
58,20,cider,0.275,smirnoff,smirnoff ice,50
58,6,beer,0.4,hancock,høker,60
58,2,beer,0.5,carlsberg,tuborg classic,20
59,2,beer,0.4,carlsberg,tuborg classic,45
59,1,beer,0.5,carlsberg,carlsberg,55
59,20,cider,0.275,smirnoff,smirnoff ice,30
60,5,beer,0.5,diageo,guinness,65
60,20,cider,0.275,smirnoff,smirnoff ice,39
60,22,cider,0.275,carlsberg,somersby,45
60,6,beer,0.5,hancock,høker,55
61,3,beer,0.4,carlsberg,blanc 1664,50
61,4,beer,0.5,carlsberg,tuborg,55
61,22,cider,0.275,carlsberg,somersby,55
61,2,beer,0.5,carlsberg,tuborg classic,50
62,23,cider,0.275,diageo,bacardi breezer,30
62,6,beer,0.5,hancock,høker,40
62,21,cider,0.275,cult,mokai,45
62,22,cider,0.275,carlsberg,somersby,39
62,20,cider,0.275,smirnoff,smirnoff ice,30
63,3,beer,0.4,carlsberg,blanc 1664,40
63,5,beer,0.4,diageo,guinness,65
63,20,cider,0.275,smirnoff,smirnoff ice,30
64,6,beer,0.5,hancock,høker,65
64,10,shot,0.02,underberg,underberg,30
65,22,cider,0.275,carlsberg,somersby,30
65,10,shot,0.02,underberg,underberg,35
65,5,beer,0.4,diageo,guinness,55
65,21,cider,0.275,cult,mokai,39
66,3,beer,0.4,carlsberg,blanc 1664,50
66,10,shot,0.02,underberg,underberg,25
66,5,beer,0.4,diageo,guinness,65
66,21,cider,0.275,cult,mokai,39
66,2,beer,0.5,carlsberg,tuborg classic,60
66,20,cider,0.275,smirnoff,smirnoff ice,55
66,6,beer,0.4,hancock,høker,50
67,2,beer,0.4,carlsberg,tuborg classic,50
67,4,beer,0.5,carlsberg,tuborg,45
67,20,cider,0.275,smirnoff,smirnoff ice,30
68,21,cider,0.275,cult,mokai,45
68,4,beer,0.4,carlsberg,tuborg,55
68,3,beer,0.4,carlsberg,blanc 1664,60
68,2,beer,0.5,carlsberg,tuborg classic,40
68,20,cider,0.275,smirnoff,smirnoff ice,50
68,10,shot,0.02,underberg,underberg,35
68,6,beer,0.5,hancock,høker,40
69,1,beer,0.5,carlsberg,carlsberg,55
69,5,beer,0.4,diageo,guinness,50
69,22,cider,0.275,carlsberg,somersby,55
70,2,beer,0.4,carlsberg,tuborg classic,40
70,21,cider,0.275,cult,mokai,30
70,4,beer,0.4,carlsberg,tuborg,50
70,5,beer,0.5,diageo,guinness,55
70,1,beer,0.5,carlsberg,carlsberg,45
70,3,beer,0.5,carlsberg,blanc 1664,60
70,10,shot,0.02,underberg,underberg,35
71,1,beer,0.5,carlsberg,carlsberg,60
71,6,beer,0.4,hancock,høker,65
71,3,beer,0.4,carlsberg,blanc 1664,50
71,21,cider,0.275,cult,mokai,55
71,10,shot,0.02,underberg,underberg,25
71,22,cider,0.275,carlsberg,somersby,30
71,20,cider,0.275,smirnoff,smirnoff ice,45
72,10,shot,0.02,underberg,underberg,30
72,6,beer,0.5,hancock,høker,50
72,21,cider,0.275,cult,mokai,45
73,4,beer,0.4,carlsberg,tuborg,60
73,3,beer,0.4,carlsberg,blanc 1664,60
73,1,beer,0.4,carlsberg,carlsberg,20
73,22,cider,0.275,carlsberg,somersby,39
73,23,cider,0.275,diageo,bacardi breezer,30
73,10,shot,0.02,underberg,underberg,25
74,1,beer,0.4,carlsberg,carlsberg,40
74,2,beer,0.4,carlsberg,tuborg classic,45
75,10,shot,0.02,underberg,underberg,35
75,4,beer,0.5,carlsberg,tuborg,45
75,20,cider,0.275,smirnoff,smirnoff ice,30
75,1,beer,0.5,carlsberg,carlsberg,55
76,21,cider,0.275,cult,mokai,45
76,23,cider,0.275,diageo,bacardi breezer,55
76,6,beer,0.4,hancock,høker,60
76,2,beer,0.5,carlsberg,tuborg classic,55
76,22,cider,0.275,carlsberg,somersby,55
76,4,beer,0.4,carlsberg,tuborg,55
76,5,beer,0.4,diageo,guinness,50
77,1,beer,0.5,carlsberg,carlsberg,60
77,23,cider,0.275,diageo,bacardi breezer,39
77,3,beer,0.5,carlsberg,blanc 1664,40
77,4,beer,0.4,carlsberg,tuborg,40
77,22,cider,0.275,carlsberg,somersby,39
77,21,cider,0.275,cult,mokai,30
77,20,cider,0.275,smirnoff,smirnoff ice,39
78,21,cider,0.275,cult,mokai,39
78,20,cider,0.275,smirnoff,smirnoff ice,45
78,22,cider,0.275,carlsberg,somersby,55
79,4,beer,0.5,carlsberg,tuborg,60
79,2,beer,0.5,carlsberg,tuborg classic,60
80,2,beer,0.4,carlsberg,tuborg classic,60
80,22,cider,0.275,carlsberg,somersby,39
80,5,beer,0.4,diageo,guinness,55
81,22,cider,0.275,carlsberg,somersby,55
81,23,cider,0.275,diageo,bacardi breezer,39
81,21,cider,0.275,cult,mokai,45
81,10,shot,0.02,underberg,underberg,25
81,1,beer,0.4,carlsberg,carlsberg,50
82,20,cider,0.275,smirnoff,smirnoff ice,39
82,4,beer,0.5,carlsberg,tuborg,50
82,22,cider,0.275,carlsberg,somersby,39
82,1,beer,0.5,carlsberg,carlsberg,40
82,3,beer,0.5,carlsberg,blanc 1664,50
82,6,beer,0.4,hancock,høker,55
83,23,cider,0.275,diageo,bacardi breezer,39
83,10,shot,0.02,underberg,underberg,25
83,22,cider,0.275,carlsberg,somersby,30
83,20,cider,0.275,smirnoff,smirnoff ice,39
83,21,cider,0.275,cult,mokai,50
83,3,beer,0.4,carlsberg,blanc 1664,65
84,20,cider,0.275,smirnoff,smirnoff ice,55
84,6,beer,0.5,hancock,høker,55
84,23,cider,0.275,diageo,bacardi breezer,45
85,2,beer,0.4,carlsberg,tuborg classic,45
85,1,beer,0.5,carlsberg,carlsberg,45
85,20,cider,0.275,smirnoff,smirnoff ice,30
86,3,beer,0.4,carlsberg,blanc 1664,40
86,5,beer,0.5,diageo,guinness,40
86,2,beer,0.5,carlsberg,tuborg classic,50
86,1,beer,0.5,carlsberg,carlsberg,20
87,1,beer,0.5,carlsberg,carlsberg,60
87,3,beer,0.5,carlsberg,blanc 1664,40
87,22,cider,0.275,carlsberg,somersby,55
87,23,cider,0.275,diageo,bacardi breezer,30
87,5,beer,0.4,diageo,guinness,60
87,4,beer,0.4,carlsberg,tuborg,40
88,1,beer,0.4,carlsberg,carlsberg,40
88,22,cider,0.275,carlsberg,somersby,45
89,3,beer,0.4,carlsberg,blanc 1664,60
89,5,beer,0.4,diageo,guinness,40
89,20,cider,0.275,smirnoff,smirnoff ice,30
90,5,beer,0.4,diageo,guinness,55
90,23,cider,0.275,diageo,bacardi breezer,50
90,2,beer,0.5,carlsberg,tuborg classic,60
90,1,beer,0.5,carlsberg,carlsberg,40
90,6,beer,0.5,hancock,høker,50
91,2,beer,0.4,carlsberg,tuborg classic,55
91,1,beer,0.5,carlsberg,carlsberg,45
91,20,cider,0.275,smirnoff,smirnoff ice,45
91,5,beer,0.4,diageo,guinness,60
91,4,beer,0.4,carlsberg,tuborg,50
92,20,cider,0.275,smirnoff,smirnoff ice,45
92,4,beer,0.4,carlsberg,tuborg,50
93,21,cider,0.275,cult,mokai,39
93,2,beer,0.5,carlsberg,tuborg classic,20
93,1,beer,0.5,carlsberg,carlsberg,50
94,5,beer,0.4,diageo,guinness,60
94,20,cider,0.275,smirnoff,smirnoff ice,55
94,21,cider,0.275,cult,mokai,39
94,1,beer,0.4,carlsberg,carlsberg,55
95,23,cider,0.275,diageo,bacardi breezer,55
95,5,beer,0.5,diageo,guinness,60
95,22,cider,0.275,carlsberg,somersby,45
95,2,beer,0.4,carlsberg,tuborg classic,55
95,6,beer,0.4,hancock,høker,60
96,6,beer,0.5,hancock,høker,50
96,22,cider,0.275,carlsberg,somersby,39
96,1,beer,0.5,carlsberg,carlsberg,55
96,21,cider,0.275,cult,mokai,50
96,2,beer,0.5,carlsberg,tuborg classic,45
97,10,shot,0.02,underberg,underberg,25
97,2,beer,0.4,carlsberg,tuborg classic,40
97,6,beer,0.5,hancock,høker,40
97,22,cider,0.275,carlsberg,somersby,45
97,20,cider,0.275,smirnoff,smirnoff ice,55
97,4,beer,0.4,carlsberg,tuborg,40
98,21,cider,0.275,cult,mokai,45
98,1,beer,0.4,carlsberg,carlsberg,50
98,22,cider,0.275,carlsberg,somersby,45
98,3,beer,0.5,carlsberg,blanc 1664,60
98,23,cider,0.275,diageo,bacardi breezer,55
98,6,beer,0.5,hancock,høker,65
98,10,shot,0.02,underberg,underberg,25
99,3,beer,0.5,carlsberg,blanc 1664,50
99,5,beer,0.4,diageo,guinness,50
99,1,beer,0.5,carlsberg,carlsberg,40
99,4,beer,0.4,carlsberg,tuborg,20
99,2,beer,0.5,carlsberg,tuborg classic,60
99,20,cider,0.275,smirnoff,smirnoff ice,30
99,6,beer,0.5,hancock,høker,65
100,2,beer,0.4,carlsberg,tuborg classic,40
100,6,beer,0.5,hancock,høker,55
101,21,cider,0.275,cult,mokai,39
101,23,cider,0.275,diageo,bacardi breezer,45
102,3,beer,0.5,carlsberg,blanc 1664,40
102,5,beer,0.5,diageo,guinness,40
102,6,beer,0.4,hancock,høker,60
102,20,cider,0.275,smirnoff,smirnoff ice,45
103,6,beer,0.5,hancock,høker,40
103,1,beer,0.5,carlsberg,carlsberg,50
103,5,beer,0.4,diageo,guinness,60
103,4,beer,0.4,carlsberg,tuborg,50
103,20,cider,0.275,smirnoff,smirnoff ice,50
103,3,beer,0.4,carlsberg,blanc 1664,40
104,2,beer,0.5,carlsberg,tuborg classic,45
104,5,beer,0.4,diageo,guinness,65
104,22,cider,0.275,carlsberg,somersby,50
104,21,cider,0.275,cult,mokai,55
104,20,cider,0.275,smirnoff,smirnoff ice,45
104,3,beer,0.5,carlsberg,blanc 1664,40
105,20,cider,0.275,smirnoff,smirnoff ice,45
105,2,beer,0.4,carlsberg,tuborg classic,60
105,5,beer,0.4,diageo,guinness,40
105,23,cider,0.275,diageo,bacardi breezer,30
105,6,beer,0.4,hancock,høker,40
105,3,beer,0.5,carlsberg,blanc 1664,50
105,22,cider,0.275,carlsberg,somersby,55
106,1,beer,0.4,carlsberg,carlsberg,50
106,5,beer,0.5,diageo,guinness,55
106,10,shot,0.02,underberg,underberg,30
107,5,beer,0.4,diageo,guinness,65
107,1,beer,0.5,carlsberg,carlsberg,60
107,6,beer,0.4,hancock,høker,55
107,23,cider,0.275,diageo,bacardi breezer,45
108,4,beer,0.4,carlsberg,tuborg,55
108,1,beer,0.4,carlsberg,carlsberg,20
109,22,cider,0.275,carlsberg,somersby,30
109,1,beer,0.5,carlsberg,carlsberg,20
109,2,beer,0.4,carlsberg,tuborg classic,45
110,21,cider,0.275,cult,mokai,55
110,4,beer,0.4,carlsberg,tuborg,60
110,1,beer,0.4,carlsberg,carlsberg,50
111,2,beer,0.5,carlsberg,tuborg classic,55
111,20,cider,0.275,smirnoff,smirnoff ice,55
111,23,cider,0.275,diageo,bacardi breezer,45
111,10,shot,0.02,underberg,underberg,30
111,6,beer,0.5,hancock,høker,50
111,21,cider,0.275,cult,mokai,30
112,20,cider,0.275,smirnoff,smirnoff ice,45
112,2,beer,0.4,carlsberg,tuborg classic,45
112,21,cider,0.275,cult,mokai,50
112,5,beer,0.4,diageo,guinness,40
112,1,beer,0.5,carlsberg,carlsberg,55
112,4,beer,0.5,carlsberg,tuborg,45
113,10,shot,0.02,underberg,underberg,25
113,23,cider,0.275,diageo,bacardi breezer,39
114,2,beer,0.4,carlsberg,tuborg classic,55
114,22,cider,0.275,carlsberg,somersby,39
114,23,cider,0.275,diageo,bacardi breezer,39
114,6,beer,0.4,hancock,høker,60
114,3,beer,0.5,carlsberg,blanc 1664,50
114,5,beer,0.4,diageo,guinness,40
115,4,beer,0.4,carlsberg,tuborg,55
115,2,beer,0.4,carlsberg,tuborg classic,45
115,5,beer,0.4,diageo,guinness,50
115,20,cider,0.275,smirnoff,smirnoff ice,55
116,2,beer,0.4,carlsberg,tuborg classic,20
116,23,cider,0.275,diageo,bacardi breezer,39
116,21,cider,0.275,cult,mokai,50
117,22,cider,0.275,carlsberg,somersby,39
117,2,beer,0.5,carlsberg,tuborg classic,55
117,3,beer,0.4,carlsberg,blanc 1664,55
118,20,cider,0.275,smirnoff,smirnoff ice,39
118,22,cider,0.275,carlsberg,somersby,45
118,10,shot,0.02,underberg,underberg,25
118,4,beer,0.5,carlsberg,tuborg,50
118,5,beer,0.5,diageo,guinness,50
118,21,cider,0.275,cult,mokai,50
119,22,cider,0.275,carlsberg,somersby,55
119,3,beer,0.5,carlsberg,blanc 1664,65
119,1,beer,0.5,carlsberg,carlsberg,40
119,23,cider,0.275,diageo,bacardi breezer,55
119,21,cider,0.275,cult,mokai,39
120,23,cider,0.275,diageo,bacardi breezer,50
120,20,cider,0.275,smirnoff,smirnoff ice,45
121,2,beer,0.5,carlsberg,tuborg classic,20
121,1,beer,0.5,carlsberg,carlsberg,40
121,23,cider,0.275,diageo,bacardi breezer,30
121,20,cider,0.275,smirnoff,smirnoff ice,50
121,10,shot,0.02,underberg,underberg,35
121,6,beer,0.5,hancock,høker,50
122,4,beer,0.5,carlsberg,tuborg,20
122,20,cider,0.275,smirnoff,smirnoff ice,55
122,23,cider,0.275,diageo,bacardi breezer,45
122,2,beer,0.5,carlsberg,tuborg classic,50
122,1,beer,0.4,carlsberg,carlsberg,50
122,22,cider,0.275,carlsberg,somersby,30
122,5,beer,0.4,diageo,guinness,55
123,2,beer,0.4,carlsberg,tuborg classic,45
123,10,shot,0.02,underberg,underberg,30
123,22,cider,0.275,carlsberg,somersby,39
123,3,beer,0.5,carlsberg,blanc 1664,40
123,1,beer,0.4,carlsberg,carlsberg,60
123,4,beer,0.5,carlsberg,tuborg,60
123,20,cider,0.275,smirnoff,smirnoff ice,45
124,21,cider,0.275,cult,mokai,39
124,23,cider,0.275,diageo,bacardi breezer,45
124,1,beer,0.5,carlsberg,carlsberg,50
125,4,beer,0.5,carlsberg,tuborg,20
125,1,beer,0.4,carlsberg,carlsberg,45
125,23,cider,0.275,diageo,bacardi breezer,50
126,3,beer,0.4,carlsberg,blanc 1664,60
126,2,beer,0.5,carlsberg,tuborg classic,60
126,5,beer,0.5,diageo,guinness,65
126,23,cider,0.275,diageo,bacardi breezer,30
126,22,cider,0.275,carlsberg,somersby,30
127,3,beer,0.4,carlsberg,blanc 1664,50
127,5,beer,0.5,diageo,guinness,40
127,22,cider,0.275,carlsberg,somersby,50
127,1,beer,0.5,carlsberg,carlsberg,45
127,10,shot,0.02,underberg,underberg,25
127,20,cider,0.275,smirnoff,smirnoff ice,45
128,6,beer,0.4,hancock,høker,65
128,21,cider,0.275,cult,mokai,39
128,3,beer,0.5,carlsberg,blanc 1664,60
128,4,beer,0.5,carlsberg,tuborg,45
128,22,cider,0.275,carlsberg,somersby,39
129,6,beer,0.5,hancock,høker,50
129,22,cider,0.275,carlsberg,somersby,39
129,5,beer,0.4,diageo,guinness,55
129,4,beer,0.5,carlsberg,tuborg,60
130,2,beer,0.5,carlsberg,tuborg classic,20
130,20,cider,0.275,smirnoff,smirnoff ice,50
130,6,beer,0.5,hancock,høker,50
130,1,beer,0.4,carlsberg,carlsberg,45
130,3,beer,0.4,carlsberg,blanc 1664,60
130,4,beer,0.5,carlsberg,tuborg,60
130,10,shot,0.02,underberg,underberg,35
131,20,cider,0.275,smirnoff,smirnoff ice,30
131,21,cider,0.275,cult,mokai,55
132,5,beer,0.4,diageo,guinness,40
132,21,cider,0.275,cult,mokai,50
